scenario_id,sweep,model,aircraft_count,speed_kmh,speed_mps,building_density,building_count,vertiport_count,actual_vertiport_count,safety_distance_m,safety_label,weather,total_flights,success_flights,failed_flights,building_risk_count,building_collision_count,aircraft_collision_count,aircraft_conflict_sample_count,collision_risk_count,avg_flight_distance_m,avg_flight_time_s,avg_delay_s,avg_takeoff_pad_delay_s,avg_landing_pad_delay_s,avg_pad_delay_s,max_pad_delay_s,pad_wait_flight_count,avg_detour_distance_m,avg_altitude_changes,avg_path_changes
S031,safety_distance,B,50,240.0,66.66666666666667,0.35,126,8,8,152.4,500ft,disabled,50,4,46,1,0,113,525,113,789.2976690425978,307.4999462010238,311.65621115676976,311.65621115676976,244.65340314384943,556.3096143006192,1486.1485643833944,46,0.7771090323974397,0.66,0.02
S032,safety_distance,B,50,240.0,66.66666666666667,0.35,126,8,8,30.0,30m,disabled,50,6,44,1,0,68,356,68,789.2976690425978,307.4999462010238,311.65621115676976,311.65621115676976,244.65340314384943,556.3096143006192,1486.1485643833944,46,0.7771090323974397,0.66,0.02
S033,model_comparison,C,50,240.0,66.66666666666667,0.35,134,8,8,152.4,500ft,disabled,50,22,28,17,17,13,14,30,949.9905394213948,245.51568028183883,380.6135715708266,297.21357157082673,160.58685747215122,457.8004290429776,1291.1844257776465,43,0.0,0.28,0.0
S034,aircraft_count,C,10,240.0,66.66666666666667,0.35,134,8,8,152.4,500ft,disabled,10,6,4,7,7,0,0,7,818.5793946161226,64.6881244934723,23.161731291025923,23.161731291025923,0.0,23.161731291025923,123.03828259030024,3,0.0,0.0,0.0
S035,aircraft_count,C,30,240.0,66.66666666666667,0.35,151,8,8,152.4,500ft,disabled,30,16,14,11,11,2,2,13,883.380487152928,143.5185829353916,142.40794879967962,110.40794879967963,69.36986110651179,179.7778099061914,632.6543104459631,22,0.0,0.3,0.0
S036,aircraft_count,C,50,240.0,66.66666666666667,0.35,132,8,8,152.4,500ft,disabled,50,29,21,12,12,7,7,19,877.5318710066952,212.0556422430687,366.46053693962216,226.66053693962226,141.11750436440352,367.7780413040257,895.3574426331811,41,0.0,0.48,0.0
S037,aircraft_count,C,100,240.0,66.66666666666667,0.35,137,8,8,152.4,500ft,disabled,100,22,78,35,35,69,832,104,935.1153714870695,450.4321699586164,819.2764389161644,664.1764389161644,343.2660033837822,1007.4424422999463,2453.1070996009066,91,0.0,0.55,0.0
S038,speed,C,50,150.0,41.666666666666664,0.35,147,8,8,152.4,500ft,disabled,50,25,25,18,18,9,36,27,939.2749454046489,268.5875000488417,434.97775186050984,322.77775186050985,183.20316209821362,505.98091395872353,1406.9865310873133,42,0.0,0.5,0.0
S039,speed,C,50,240.0,66.66666666666667,0.35,142,8,8,152.4,500ft,disabled,50,23,27,17,17,13,80,30,998.3077244609963,281.0862407246076,337.0262836490245,224.82628364902445,177.83430326310844,402.66058691213294,1322.9726571968254,41,0.0,0.46,0.0
S040,speed,C,50,300.0,83.33333333333333,0.35,133,8,8,152.4,500ft,disabled,50,25,25,25,25,14,296,39,964.9931443530468,266.8402642681609,454.1112383286871,303.5112383286872,174.93639412262368,478.447632451311,1735.9737603217973,42,0.0,0.56,0.0
S041,building_density,C,50,240.0,66.66666666666667,0.2,92,8,8,152.4,500ft,disabled,50,23,27,28,28,6,6,34,873.4658514542747,197.92164573540592,333.5274378377817,240.5274378377817,126.21460174728644,366.74203958506826,1243.628435340141,46,0.0,0.34,0.0
S042,building_density,C,50,240.0,66.66666666666667,0.35,144,8,8,152.4,500ft,disabled,50,35,15,13,13,6,6,19,842.5919433264338,251.67274663392928,345.52186932543003,310.7218693254301,178.1836013863328,488.9054707117627,1384.2506422803463,45,0.0,0.4,0.0
S043,building_density,C,50,240.0,66.66666666666667,0.5,208,8,8,152.4,500ft,disabled,50,24,26,17,17,11,13,28,932.6808752484966,235.81688602954637,380.81905493331425,212.81905493331433,133.42022034475067,346.239275278065,1093.1463245835166,39,0.0,0.52,0.0
S044,vertiport_count,C,50,240.0,66.66666666666667,0.35,155,4,4,152.4,500ft,disabled,50,7,43,12,12,83,1771,95,1184.8919800683186,552.8201411263317,784.3796939795022,669.7796939795021,443.9143141363971,1113.694008115899,3047.863794395162,45,0.0,0.58,0.0
S045,vertiport_count,C,50,240.0,66.66666666666667,0.35,145,8,8,152.4,500ft,disabled,50,29,21,22,22,5,120,27,834.6027060731609,316.66559053396077,327.29382275057907,269.69382275057905,254.40028175674846,524.0941045073275,1456.518017492584,47,0.0,0.38,0.0
S046,vertiport_count,C,50,240.0,66.66666666666667,0.35,135,20,20,152.4,500ft,disabled,50,21,29,29,29,9,9,38,1020.4942981459677,160.53294061001242,230.09505343622288,132.29505343622287,68.93394393789634,201.22899737411916,773.5145114740264,29,0.0,0.32,0.0
S047,safety_distance,C,50,240.0,66.66666666666667,0.35,126,8,8,152.4,500ft,disabled,50,19,31,19,19,14,55,33,906.5205600102003,234.0273797428434,462.21715719149086,300.8171571914907,147.59249332115502,448.4096505126459,1342.091476755057,44,0.0,0.56,0.0
S048,safety_distance,C,50,240.0,66.66666666666667,0.35,126,8,8,30.0,30m,disabled,50,24,26,29,29,5,7,34,854.5205600102003,264.9200788877532,381.9563194695925,308.1563194695924,188.88519246606486,497.0415119356574,1282.091476755057,45,0.0,0.52,0.0
S049,model_comparison,D,50,240.0,66.66666666666667,0.35,134,8,8,152.4,500ft,disabled,50,38,12,3,0,7,8,7,994.0662882188013,228.43112436546858,400.6258948240743,272.82589482407434,134.70116532381982,407.527060147894,1238.6715360998148,43,0.07574879740649748,0.52,0.06
S050,aircraft_count,D,10,240.0,66.66666666666667,0.35,134,8,8,152.4,500ft,disabled,10,10,0,1,0,0,0,0,849.730351933628,70.7053888532349,25.161731291025923,25.161731291025923,0.0,25.161731291025923,123.03828259030024,3,1.1509573175053334,0.3,0.1
S051,aircraft_count,D,30,240.0,66.66666666666667,0.35,151,8,8,152.4,500ft,disabled,30,28,2,0,0,1,1,1,953.380487152928,156.06827426493467,152.28232429472786,127.28232429472787,67.91955243605486,195.20187673078271,632.6543104459631,22,0.0,0.7,0.0
S052,aircraft_count,D,50,240.0,66.66666666666667,0.35,132,8,8,152.4,500ft,disabled,50,33,17,1,1,12,33,13,883.5457089184249,186.61308539100833,407.54722308090453,265.9472230809045,114.47473994366725,380.42196302457177,1018.9907607881685,40,0.013837911729769985,0.62,0.02
S053,aircraft_count,D,100,240.0,66.66666666666667,0.35,137,8,8,152.4,500ft,disabled,100,35,65,1,2,76,627,78,992.3336758415733,394.046137602093,906.4844060000432,735.4844060000432,275.47669646194123,1010.9611024619843,2473.1070996009066,91,0.2183043545035335,0.84,0.01
S054,speed,D,50,150.0,41.666666666666664,0.35,147,8,8,152.4,500ft,disabled,50,36,14,2,1,7,7,8,965.3132570446412,272.5450695978688,454.87607074901223,338.47607074901214,181.95981216788084,520.435882916893,1501.6042667768056,42,0.038311639992302846,0.64,0.02
S055,speed,D,50,240.0,66.66666666666667,0.35,142,8,8,152.4,500ft,disabled,50,28,22,3,0,14,29,14,1018.424678952615,292.4494561919084,374.5087399682125,222.70873996821246,185.19576441303488,407.90450438124753,1396.5291249876464,42,0.11695449161860325,0.68,0.06
S056,speed,D,50,300.0,83.33333333333333,0.35,133,8,8,152.4,500ft,disabled,50,32,18,0,0,18,339,18,1006.9931443530468,291.17168122642755,432.0422633301774,298.2422633301774,190.8678110808903,489.11007441106767,1685.4889229818493,42,0.0,0.82,0.0
S057,building_density,D,50,240.0,66.66666666666667,0.2,92,8,8,152.4,500ft,disabled,50,43,7,0,0,5,6,5,925.4658514542746,211.54022552589558,351.3497597056179,294.94975970561785,129.43318153777614,424.38294124339404,1383.628435340141,44,0.0,0.74,0.0
S058,building_density,D,50,240.0,66.66666666666667,0.35,144,8,8,152.4,500ft,disabled,50,39,11,2,0,7,47,7,882.6220528134115,261.49277880651454,343.6273061669783,313.0273061669784,180.00318191661344,493.0304880835917,1404.2506422803463,45,0.0301094869780286,0.56,0.04
S059,building_density,D,50,240.0,66.66666666666667,0.5,208,8,8,152.4,500ft,disabled,50,29,21,5,1,15,19,16,881.3680641842101,232.6385283491385,408.85509141016206,270.25509141016204,140.6315548303071,410.8866462404692,1229.9632699650977,42,0.6871889357133523,0.64,0.08
S060,vertiport_count,D,50,240.0,66.66666666666667,0.35,155,4,4,152.4,500ft,disabled,50,14,36,6,0,72,1531,72,1177.0469561578968,543.535512448577,810.5476987858133,617.3476987858131,436.2273608172987,1053.5750596031119,3047.883166406359,45,0.1549760895783038,0.7,0.12
S061,vertiport_count,D,50,240.0,66.66666666666667,0.35,145,8,8,152.4,500ft,disabled,50,41,9,0,0,6,337,6,880.6027060731611,319.53121128487265,352.6386914232192,282.4386914232192,248.06590250766035,530.5045939308795,1496.5180174925845,45,0.0,0.66,0.0
S062,vertiport_count,D,50,240.0,66.66666666666667,0.35,135,20,20,152.4,500ft,disabled,50,35,15,0,0,9,9,9,1022.4942981459677,160.07061986689888,246.7778922920226,127.97789229202267,68.07162319478279,196.0495154868054,641.2241178892691,33,0.0,0.76,0.0
S063,safety_distance,D,50,240.0,66.66666666666667,0.35,126,8,8,152.4,500ft,disabled,50,33,17,2,1,10,51,11,917.6577981119683,256.60089163685893,433.5112569395805,329.11125693958047,168.14894664364405,497.2602035832248,1342.091476755057,44,1.137238101767897,0.84,0.04
S064,safety_distance,D,50,240.0,66.66666666666667,0.35,126,8,8,30.0,30m,disabled,50,34,16,1,0,9,13,9,923.2976690425978,293.7733223786357,368.74217408506934,320.14217408506926,204.1267793214614,524.268953406531,1322.091476755057,45,0.7771090323974397,0.84,0.02
