scenario_id,sweep,model,vertiport_id,aircraft_id,operation,start_s,end_s,duration_s,pad_delay_s
S060,vertiport_count,D,0,9,takeoff,726.0,756.0,30.0,85.0
S060,vertiport_count,D,3,9,landing,775.8323313604882,965.8323313604882,190.0,0.0
S060,vertiport_count,D,3,10,takeoff,488.0,518.0,30.0,9.0
S060,vertiport_count,D,2,10,landing,1438.8983158122146,1628.8983158122146,190.0,883.7176438998251
S060,vertiport_count,D,0,11,takeoff,1635.300551061372,1665.300551061372,30.0,796.3005510613721
S060,vertiport_count,D,1,11,landing,1713.651944216637,1903.651944216637,190.0,0.0
S060,vertiport_count,D,3,12,takeoff,1490.581737159569,1520.581737159569,30.0,276.581737159569
S060,vertiport_count,D,1,12,landing,1993.651944216637,2183.6519442166373,190.00000000000023,446.8204910415668
S060,vertiport_count,D,1,13,takeoff,1580.8474737183221,1610.8474737183221,30.0,1013.8474737183221
S060,vertiport_count,D,2,13,landing,1878.8983158122146,2068.8983158122146,190.0,156.10168418778494
S060,vertiport_count,D,1,14,takeoff,1963.651944216637,1993.651944216637,30.0,1175.651944216637
S060,vertiport_count,D,3,14,landing,3745.1328824218604,3935.1328824218604,190.0,1625.2312221897223
S060,vertiport_count,D,0,15,takeoff,2485.300551061372,2515.300551061372,30.0,1656.300551061372
S060,vertiport_count,D,3,15,landing,3365.1328824218604,3555.1328824218604,190.0,830.0
S060,vertiport_count,D,1,16,takeoff,796.9491579061073,826.9491579061073,30.0,278.9491579061073
S060,vertiport_count,D,2,16,landing,968.8983158122146,1158.8983158122146,190.0,130.0
S060,vertiport_count,D,3,17,takeoff,1033.0,1063.0,30.0,0.0
S060,vertiport_count,D,0,17,landing,1855.300551061372,2045.300551061372,190.0,735.0435141144067
S060,vertiport_count,D,3,18,takeoff,1249.0,1279.0,30.0,53.0
S060,vertiport_count,D,2,18,landing,2733.9798387530664,2923.9798387530664,190.0,1337.7991668406767
S060,vertiport_count,D,1,19,takeoff,1304.3320211440678,1334.3320211440678,30.0,782.3320211440678
S060,vertiport_count,D,3,19,landing,2225.1328824218604,2415.1328824218604,190.0,784.5511452622914
S060,vertiport_count,D,0,20,takeoff,17.0,47.0,30.0,0.0
S060,vertiport_count,D,1,20,landing,95.35139315526499,285.351393155265,190.0,0.0
S060,vertiport_count,D,1,21,takeoff,826.9491579061073,856.9491579061073,30.0,295.9491579061073
S060,vertiport_count,D,0,21,landing,1035.300551061372,1225.300551061372,190.0,129.9999999999999
S060,vertiport_count,D,0,22,takeoff,666.0,696.0,30.0,0.0
S060,vertiport_count,D,1,22,landing,864.3320211440677,1054.3320211440678,190.0000000000001,0.0
S060,vertiport_count,D,2,23,takeoff,1348.8983158122146,1378.8983158122146,30.0,599.8983158122146
S060,vertiport_count,D,1,23,landing,1390.8474737183221,1580.8474737183221,190.0,0.0
S060,vertiport_count,D,2,24,takeoff,270.9491579061074,300.9491579061074,30.0,11.949157906107416
S060,vertiport_count,D,0,24,landing,359.6284455978019,549.6284455978018,189.99999999999994,0.0
S060,vertiport_count,D,0,25,takeoff,2515.300551061372,2545.300551061372,30.0,1682.300551061372
S060,vertiport_count,D,1,25,landing,2593.6519442166373,2783.6519442166373,190.0,0.0
S060,vertiport_count,D,1,26,takeoff,1274.3320211440678,1304.3320211440678,30.0,737.3320211440678
S060,vertiport_count,D,3,26,landing,1845.1328824218604,2035.1328824218604,190.0,474.55114526229136
S060,vertiport_count,D,1,27,takeoff,1610.8474737183221,1640.8474737183221,30.0,1005.8474737183221
S060,vertiport_count,D,3,27,landing,2795.1328824218604,2985.1328824218604,190.0,1028.035692688037
S060,vertiport_count,D,0,28,takeoff,1605.300551061372,1635.300551061372,30.0,779.3005510613721
S060,vertiport_count,D,3,28,landing,1655.1328824218604,1845.1328824218604,190.0,0.0
S060,vertiport_count,D,0,29,takeoff,2575.300551061372,2605.300551061372,30.0,1747.300551061372
S060,vertiport_count,D,1,29,landing,2783.6519442166373,2973.6519442166373,190.0,130.0
S060,vertiport_count,D,2,30,takeoff,1378.8983158122146,1408.8983158122146,30.0,604.8983158122146
S060,vertiport_count,D,0,30,landing,1665.300551061372,1855.300551061372,190.0,197.72294755746293
S060,vertiport_count,D,2,31,takeoff,1628.8983158122146,1658.8983158122146,30.0,868.8983158122146
S060,vertiport_count,D,0,31,landing,2235.300551061372,2425.300551061372,190.0,457.72294755746293
S060,vertiport_count,D,3,32,takeoff,738.0,768.0,30.0,0.0
S060,vertiport_count,D,0,32,landing,1225.300551061372,1415.300551061372,190.0,420.0435141144068
S060,vertiport_count,D,0,33,takeoff,2455.300551061372,2485.300551061372,30.0,1638.300551061372
S060,vertiport_count,D,2,33,landing,2543.9798387530664,2733.9798387530664,190.0,0.0
S060,vertiport_count,D,3,34,takeoff,428.0,458.0,30.0,47.0
S060,vertiport_count,D,2,34,landing,1158.8983158122146,1348.8983158122146,190.0,683.7176438998251
S060,vertiport_count,D,2,35,takeoff,1408.8983158122146,1438.8983158122146,30.0,659.8983158122146
S060,vertiport_count,D,3,35,landing,2035.1328824218604,2225.1328824218604,190.0,519.053894697256
S060,vertiport_count,D,1,36,takeoff,39.0,69.0,30.0,0.0
S060,vertiport_count,D,2,36,landing,80.94915790610739,270.9491579061074,190.00000000000003,0.0
S060,vertiport_count,D,3,37,takeoff,398.0,428.0,30.0,0.0
S060,vertiport_count,D,2,37,landing,425.1806719123895,615.1806719123895,189.99999999999994,0.0
S060,vertiport_count,D,1,38,takeoff,1334.3320211440678,1364.3320211440678,30.0,768.3320211440678
S060,vertiport_count,D,2,38,landing,1688.8983158122146,1878.8983158122146,190.0,212.6171367620393
S060,vertiport_count,D,1,39,takeoff,1244.3320211440678,1274.3320211440678,30.0,720.3320211440678
S060,vertiport_count,D,3,39,landing,1300.581737159569,1490.581737159569,190.0,0.0
S060,vertiport_count,D,2,40,takeoff,47.0,77.0,30.0,7.0
S060,vertiport_count,D,0,40,landing,135.6792876916944,325.6792876916944,190.0,0.0
S060,vertiport_count,D,1,41,takeoff,475.351393155265,505.351393155265,30.0,391.351393155265
S060,vertiport_count,D,3,41,landing,531.6011091707661,721.6011091707661,190.0,0.0
S060,vertiport_count,D,2,42,takeoff,17.0,47.0,30.0,0.0
S060,vertiport_count,D,1,42,landing,285.351393155265,475.351393155265,190.0,206.4022352491576
S060,vertiport_count,D,1,43,takeoff,1903.651944216637,1933.651944216637,30.0,1214.651944216637
S060,vertiport_count,D,3,43,landing,3175.1328824218604,3365.1328824218604,190.0,1115.2312221897223
S060,vertiport_count,D,0,44,takeoff,2425.300551061372,2455.300551061372,30.0,1583.300551061372
S060,vertiport_count,D,3,44,landing,2605.1328824218604,2795.1328824218604,190.0,130.0
S060,vertiport_count,D,0,45,takeoff,696.0,726.0,30.0,32.0
S060,vertiport_count,D,1,45,landing,1054.3320211440678,1244.3320211440678,190.0,160.0000000000001
S060,vertiport_count,D,1,46,takeoff,1933.651944216637,1963.651944216637,30.0,1149.651944216637
S060,vertiport_count,D,3,46,landing,3555.1328824218604,3745.1328824218604,190.0,1465.2312221897223
S060,vertiport_count,D,1,47,takeoff,2183.6519442166373,2213.6519442166373,30.0,1372.6519442166373
S060,vertiport_count,D,3,47,landing,3935.1328824218604,4125.13288242186,189.99999999999955,1675.2312221897218
S060,vertiport_count,D,1,48,takeoff,2213.6519442166373,2243.6519442166373,30.0,1315.6519442166373
S060,vertiport_count,D,2,48,landing,3113.9798387530664,3303.9798387530664,190.0,818.3787366303218
S060,vertiport_count,D,1,49,takeoff,736.9491579061073,766.9491579061073,30.0,192.9491579061073
S060,vertiport_count,D,2,49,landing,778.8983158122146,968.8983158122146,190.0,0.0
S061,vertiport_count,D,0,0,takeoff,1008.7717458792202,1038.7717458792204,30.000000000000114,599.7717458792202
S061,vertiport_count,D,2,0,landing,1073.8936060177004,1263.8936060177004,190.0,0.0
S061,vertiport_count,D,2,1,takeoff,939.0,969.0,30.0,0.0
S061,vertiport_count,D,4,1,landing,1150.3116096093174,1340.3116096093174,190.0,151.32108325208117
S061,vertiport_count,D,4,2,takeoff,400.31160960931743,430.31160960931743,30.0,351.31160960931743
S061,vertiport_count,D,5,2,landing,408.4421305336374,598.4421305336374,190.0,0.0
S061,vertiport_count,D,5,3,takeoff,878.4421305336374,908.4421305336374,30.0,349.4421305336374
S061,vertiport_count,D,3,3,landing,1070.3223482352769,1260.3223482352769,190.0,160.0
S061,vertiport_count,D,2,4,takeoff,1673.8936060177004,1703.8936060177004,30.0,608.8936060177004
S061,vertiport_count,D,6,4,landing,1769.1148914312987,1959.1148914312987,190.0,0.0
S061,vertiport_count,D,7,5,takeoff,298.0,328.0,30.0,0.0
S061,vertiport_count,D,4,5,landing,770.3116096093174,960.3116096093174,190.0,377.70211882465674
S061,vertiport_count,D,1,6,takeoff,1370.053180896814,1400.053180896814,30.0,777.053180896814
S061,vertiport_count,D,0,6,landing,1406.4410190322512,1596.4410190322512,190.0,0.0
S061,vertiport_count,D,4,7,takeoff,710.3116096093174,740.3116096093174,30.0,457.31160960931743
S061,vertiport_count,D,1,7,landing,800.053180896814,990.053180896814,190.0,80.17356421719887
S061,vertiport_count,D,7,8,takeoff,7.0,37.0,30.0,0.0
S061,vertiport_count,D,4,8,landing,210.31160960931746,400.31160960931743,189.99999999999997,148.70211882465674
S061,vertiport_count,D,4,9,takeoff,1370.3116096093174,1400.3116096093174,30.0,681.3116096093174
S061,vertiport_count,D,1,9,landing,1400.053180896814,1590.053180896814,190.0,20.173564217198873
S061,vertiport_count,D,3,10,takeoff,380.0,410.0,30.0,0.0
S061,vertiport_count,D,2,10,landing,1453.8936060177004,1643.8936060177004,190.0,934.4661793542589
S061,vertiport_count,D,1,11,takeoff,2030.053180896814,2060.053180896814,30.0,1138.053180896814
S061,vertiport_count,D,4,11,landing,2040.5939073368968,2230.593907336897,190.0,0.0
S061,vertiport_count,D,5,12,takeoff,598.4421305336374,628.4421305336374,30.0,400.4421305336374
S061,vertiport_count,D,1,12,landing,610.053180896814,800.053180896814,190.0,0.0
S061,vertiport_count,D,3,13,takeoff,63.0,93.0,30.0,0.0
S061,vertiport_count,D,0,13,landing,128.2801021588488,318.28010215884876,189.99999999999997,0.0
S061,vertiport_count,D,4,14,takeoff,460.31160960931743,490.31160960931743,30.0,359.31160960931743
S061,vertiport_count,D,2,14,landing,520.3021359665537,710.3021359665537,190.0,0.0
S061,vertiport_count,D,3,15,takeoff,110.0,140.0,30.0,0.0
S061,vertiport_count,D,6,15,landing,266.4307342569214,456.4307342569214,190.0,63.653934302215646
S061,vertiport_count,D,6,16,takeoff,693.0,723.0,30.0,0.0
S061,vertiport_count,D,0,16,landing,2089.0154661561805,2279.0154661561805,190.0,1229.853801701465
S061,vertiport_count,D,2,17,takeoff,969.0,999.0,30.0,58.0
S061,vertiport_count,D,5,17,landing,1029.2744739542793,1219.2744739542793,190.0,0.0
S061,vertiport_count,D,1,18,takeoff,1810.053180896814,1840.053180896814,30.0,1039.053180896814
S061,vertiport_count,D,2,18,landing,1878.3568477546137,2068.3568477546137,190.0,0.0
S061,vertiport_count,D,0,19,takeoff,4.0,34.0,30.0,0.0
S061,vertiport_count,D,4,19,landing,20.311609609317465,210.31160960931746,190.0,0.0
S061,vertiport_count,D,4,20,takeoff,740.3116096093174,770.3116096093174,30.0,487.31160960931743
S061,vertiport_count,D,1,20,landing,990.053180896814,1180.053180896814,190.0,227.0523181868283
S061,vertiport_count,D,3,21,takeoff,1260.3223482352769,1290.3223482352769,30.0,387.3223482352769
S061,vertiport_count,D,0,21,landing,1899.0154661561805,2089.0154661561805,190.0,553.4130157620548
S061,vertiport_count,D,0,22,takeoff,1038.7717458792204,1068.7717458792204,30.0,601.7717458792204
S061,vertiport_count,D,6,22,landing,1104.9334103339359,1294.9334103339359,190.0,0.0
