scenario_id,sweep,model,aircraft_id,planned_start_time,start_time,cruise_arrival_time,descent_start_time,end_time,delay_s,takeoff_pad_delay_s,landing_pad_delay_s,pad_delay_s,takeoff_pad_start_s,takeoff_pad_end_s,landing_pad_start_s,landing_pad_end_s,cruise_altitude,distance_m,detour_distance_m,building_risks,building_collisions,path_changes,altitude_changes
S001,model_comparison,A,34,279.0,306.0,347.5292681507493,535.5292681507493,562.1479236228417,27.0,27.0,188.0,215.0,306.0,336.0,552.1479236228417,742.1479236228417,300.0,761.724389512633,0.0,0,0,0,0
S001,model_comparison,A,35,6.0,6.0,69.1084654152536,69.1084654152536,74.16504176460653,0.0,0.0,0.0,0.0,6.0,36.0,69.1084654152536,259.1084654152536,300.0,1073.1075192057,0.0,0,0,0,0
S001,model_comparison,A,36,727.0,727.0,779.8542949506871,1575.5292681507494,1602.1479236228417,0.0,0.0,795.6749732000623,795.6749732000623,727.0,757.0,1592.1479236228417,1782.1479236228417,300.0,497.30655051495665,0.0,0,0,0,0
S001,model_comparison,A,37,94.0,94.0,153.9353226550278,330.38004199905345,339.29600986017874,0.0,0.0,176.44471934402566,176.44471934402566,94.0,124.0,330.38004199905345,520.3800419990534,300.0,880.8616260828413,0.0,1,1,0,0
S001,model_comparison,A,38,681.0,1562.1479236228417,1595.5933591716653,1595.5933591716653,1630.2958472456833,881.1479236228417,881.1479236228417,0.0,881.1479236228417,1562.1479236228417,1592.1479236228417,1620.2958472456833,1810.2958472456833,300.0,761.724389512633,0.0,0,0,0,0
S001,model_comparison,A,39,514.0,1025.1111260109117,1068.2643072339713,1068.2643072339713,1073.3208835833243,511.1111260109117,511.1111260109117,0.0,511.1111260109117,1025.1111260109117,1055.1111260109117,1068.2643072339713,1258.2643072339713,300.0,658.9087761852712,0.0,0,0,0,0
S001,model_comparison,A,40,642.0,1055.1111260109117,1093.917241541642,1375.5933591716653,1410.2958472456833,413.1111260109117,413.1111260109117,281.6761176300233,694.787243640935,1055.1111260109117,1085.1111260109117,1400.2958472456833,1590.2958472456833,300.0,517.3339553199709,0.0,0,0,0,0
S001,model_comparison,A,41,74.0,74.0,109.0557140978459,109.0557140978459,145.94438916578815,0.0,0.0,0.0,0.0,74.0,104.0,135.94438916578815,325.94438916578815,300.0,880.007227750405,0.0,0,0,0,0
S001,model_comparison,A,42,756.0,1525.1111260109117,1563.917241541642,1785.5933591716653,1820.2958472456833,769.1111260109117,769.1111260109117,221.67611763002333,990.787243640935,1525.1111260109117,1555.1111260109117,1810.2958472456833,2000.2958472456833,300.0,517.3339553199709,0.0,0,0,0,0
S001,model_comparison,A,43,857.0,864.0,881.8877562923433,1512.1984609812473,1553.8264506293228,7.0,7.0,630.310704688904,637.310704688904,864.0,894.0,1543.8264506293228,1733.8264506293228,300.0,850.8390162938665,0.0,0,0,0,0
S001,model_comparison,A,44,713.0,1031.1791443114744,1086.3032889506505,1286.3883967709558,1337.6220139097336,318.1791443114744,318.1791443114744,200.0851078203052,518.2642521317796,1031.1791443114744,1061.1791443114744,1327.6220139097336,1517.6220139097336,300.0,1364.051700007641,0.0,1,1,0,0
S001,model_comparison,A,45,333.0,415.94438916578815,458.7340527066066,618.7340527066066,655.1111260109117,82.94438916578815,82.94438916578815,160.0,242.94438916578815,415.94438916578815,445.94438916578815,645.1111260109117,835.1111260109117,300.0,759.727973386314,0.0,0,0,0,0
S001,model_comparison,A,46,481.0,1152.1479236228417,1185.5933591716653,1185.5933591716653,1220.2958472456833,671.1479236228417,671.1479236228417,0.0,671.1479236228417,1152.1479236228417,1182.1479236228417,1210.2958472456833,1400.2958472456833,300.0,761.724389512633,0.0,0,0,0,0
